parent_entity_id,has_organic_rdte,rdte_roles,base_budget_type,base_budget_pe,base_budget_ba,estimated_rdte_capacity_musd,estimated_rdte_staff,primary_domains,authority_flags,location_region,classification_band,notes
AGY-CIA-OSE,1,sponsor;executing,NIP,0607510,BA5,140,160,OSINT;AI,50USC,NCR,TS-SCI,CIA Open Source Enterprise innovation and automation projects
AGY-CIA-SID,1,executing;analysis,NIP,0607520,BA5,110,140,ISR;AI,50USC,NCR,TS-SCI,CIA Science and Innovation Directorate advanced RDT&E
AGY-CIA-TARGET,1,analysis;executing,NIP,0607530,BA5,95,125,Analysis;ISR,50USC,NCR,TS-SCI,CIA targeting and all-source fusion technology office
AGY-NRO-IMINT,1,executing;analysis,MIP,0607605,BA4,130,165,IMINT;ISR,50USC,CONUS-West,TS-SCI,NRO imagery systems development division
AGY-NRO-SIGINT,1,executing;analysis,MIP,0607606,BA4,140,175,SIGINT;Space,50USC,CONUS-West,TS-SCI,NRO SIGINT payload engineering
AGY-NRO-GEOINT,1,executing;analysis,MIP,0607607,BA4,135,170,GEOINT;AI,50USC,CONUS-West,TS-SCI,NRO GEOINT R&D and applied data exploitation office
AGY-NRO-C2,1,executing;test,MIP,0607608,BA4,115,145,C2;Space,50USC,CONUS-West,TS-SCI,NRO satellite command and control modernization office
AGY-NGA-ALGORITHMS,1,executing;analysis,NIP,0608210,BA5,85,115,GEOINT;AI,50USC,NCR,TS-SCI,NGA advanced algorithm development division
AGY-NGA-AUTOMATION,1,executing;analysis,NIP,0608220,BA5,100,135,GEOINT;AI,50USC,NCR,TS-SCI,NGA automation for analytic production modernization
AGY-NGA-SHARPFOCUS,1,analysis;executing,NIP,0608230,BA5,70,95,IMINT;ISR,50USC,NCR,TS-SCI,NGA SHARP FOCUS advanced imagery exploitation branch
AGY-NGA-INTELFUS,1,analysis;executing,NIP,0608240,BA5,90,115,ISR;DataFusion,50USC,NCR,TS-SCI,NGA intelligence fusion tool development
AGY-FBI-TTAC,1,ops;analysis,TOA,,BA3,45,70,CT;Data,28USC,CONUS-East,S,FBI Terrorist Threat Analysis Center R&D
AGY-FBI-CYBERDIV,1,executing;analysis,TOA,,BA3,55,85,Cyber;Forensics,28USC,CONUS-East,S,FBI Cyber Division technical operations
AGY-FBI-SURVTECH,1,executing;test,TOA,,BA3,40,60,Surveillance;ISR,28USC,CONUS-East,S,FBI surveillance technology development
AGY-DHS-I&A-RD,1,analysis;executing,TOA,,BA3,30,50,DomesticIntel;Data,6USC,NCR,S,DHS I&A advanced intelligence tools
AGY-DHS-CBP-LABS,1,executing;test,TOA,,BA3,35,55,Border;ISR,6USC,CONUS-South,S,CBP advanced sensing and ISR technology labs
AGY-DHS-CISA-CSD,1,test;executing,TOA,,BA3,50,75,Cyber;CriticalInfra,6USC,NCR,S,CISA cyber security division technical development
AGY-TREAS-OIA,1,analysis,TOA,,BA3,28,45,Finance;Data,31USC,NCR,S,Treasury Office of Intelligence & Analysis advanced tools
AGY-DOE-IN,1,analysis;executing,RDT&E,0609004,BA6,60,85,Nuclear;ISR,50USC,CONUS-West,TS-SCI,DOE Intelligence & Counterintelligence tech division
AGY-DEA-NTC,1,ops;analysis,TOA,,BA3,25,40,CT;Data,21USC,CONUS-South,S,DEA National Targeting Center technical exploitation
AGY-NCTC-TECH,1,analysis;executing,NIP,0609005,BA5,40,65,CT;Analytics,50USC,NCR,TS-SCI,NCTC advanced analytical systems branch
AGY-DIA-ST,1,sponsor;executing,MIP,0607440,BA3,95,125,Science;Tech,50USC,NCR,TS-SCI,DIA Directorate for Science and Technology
AGY-DIA-DGIF,1,analysis;executing,MIP,0607450,BA3,80,105,ISR;DataFusion,50USC,NCR,TS-SCI,DIA Global Integrated Framework R&D cell
AGY-NSA-GEOSIG,1,executing;analysis,MIP,0607360,BA3,70,95,GEOINT;SIGINT,50USC,NCR,TS-SCI,NSA fused geospatial SIGINT applications
AGY-NSA-QUANT,1,executing;analysis,MIP,0607370,BA3,100,130,Cyber;AI;Quantum,50USC,NCR,TS-SCI,NSA quantum computing R&D directorate
AGY-CIA-CI-OPS,1,ops;analysis,NIP,0607540,BA5,65,85,CounterIntel;Data,50USC,NCR,TS-SCI,CIA CI and exploitation tech branch
